Date,Naspers,Standard Bank,FirstRand,Sasol,MTN Group,Anglo American
2022-04-14,30459.642578125,16608.77734375,6969.8798828125,36823.94140625,17488.63671875,78189.390625
2022-04-19,30572.630859375,16799.205078125,6980.8505859375,37009.70703125,17363.787109375,78958.90625
2022-04-20,29894.517578125,16509.08203125,6780.37255859375,37068.63671875,17217.966796875,77737.8671875
2022-04-21,29480.76953125,16984.640625,6934.97021484375,38477.875,17217.966796875,72640.7421875
2022-04-22,30141.685546875,17042.46875,6938.9599609375,38108.3359375,17278.890625,69048.3125
2022-04-25,30053.697265625,16809.17578125,6767.40576171875,35778.25,16512.828125,63898.1796875
2022-04-26,29996.103515625,16751.34765625,6812.2890625,36629.18359375,17176.01953125,64625.5
2022-04-28,29784.53125,16916.84765625,6904.05078125,38353.02734375,17488.63671875,67436.625
2022-04-29,32150.82421875,16749.35546875,6831.240234375,39228.93359375,16848.419921875,70007.2734375
2022-05-03,31933.451171875,16465.21484375,6729.50390625,38540.79296875,16780.501953125,69824.703125
2022-05-04,30652.818359375,16428.32421875,6882.107421875,39124.06640625,16811.46484375,68707.7265625
2022-05-05,29209.806640625,16211.9794921875,6867.14697265625,39038.171875,17241.9375,69053.21875
2022-05-06,29190.40625,15667.6259765625,6585.8779296875,38051.40625,16694.607421875,67548.515625
2022-05-09,28540.09375,15729.439453125,6477.16064453125,36869.8828125,16344.03515625,65507.90625
2022-05-10,29050.626953125,16058.443359375,6542.98876953125,36369.51171875,16749.541015625,64431.1484375
2022-05-11,31175.951171875,16149.1689453125,6531.02099609375,38016.453125,16954.2890625,66170.453125
2022-05-12,31688.8828125,16205.0009765625,6663.67578125,37338.296875,16869.392578125,62861.671875
2022-05-13,32085.833984375,16119.2607421875,6688.61083984375,39500.59375,17055.166015625,63801.00390625
2022-05-16,31453.11328125,16338.59765625,6786.35693359375,39682.3671875,17217.966796875,65655.1328125
2022-05-17,33551.44140625,16275.7861328125,6763.416015625,39536.546875,16734.55859375,68004.9296875
2022-05-18,31955.8515625,16558.93359375,6868.1435546875,39384.7421875,16918.333984375,66847.6953125
2022-05-19,31692.681640625,16069.4111328125,6703.57177734375,38555.77734375,16422.939453125,66649.4296875
2022-05-20,32070.234375,16043.48828125,6681.62939453125,39300.84765625,16515.826171875,68619.375
2022-05-23,31308.1328125,16197.0244140625,6792.3408203125,39006.21484375,16779.50390625,71008.4375
2022-05-24,29199.806640625,16131.2236328125,6720.5283203125,39053.15234375,16284.1083984375,70471.5390625
2022-05-25,30533.6328125,15734.4228515625,6535.009765625,38410.9609375,15680.8466796875,71937.96875
2022-05-26,31999.64453125,16205.9970703125,6704.5693359375,40449.41015625,16220.1865234375,72897.90625
2022-05-27,31723.28125,16769.294921875,6857.1728515625,40343.54296875,16356.0205078125,73542.7734375
